transp,serc_gas_2007,serc_gas_2008,serc_gas_2009,serc_gas_2010,serc_gas_2011,serc_gas_2012,serc_gas_2013,serc_gas_2014,serc_gas_2015,serc_gas_2016,serc_gas_2017,serc_gas_2018,serc_gas_2019,serc_die_2007,serc_die_2008,serc_die_2009,serc_die_2010,serc_die_2011,serc_die_2012,serc_die_2013,serc_die_2014,serc_die_2015,serc_die_2016,serc_die_2017,serc_die_2018,serc_die_2019,serc_lga_2007,serc_lga_2008,serc_lga_2009,serc_lga_2010,serc_lga_2011,serc_lga_2012,serc_lga_2013,serc_lga_2014,serc_lga_2015,serc_lga_2016,serc_lga_2017,serc_lga_2018,serc_lga_2019,serc_jet_2007,serc_jet_2008,serc_jet_2009,serc_jet_2010,serc_jet_2011,serc_jet_2012,serc_jet_2013,serc_jet_2014,serc_jet_2015,serc_jet_2016,serc_jet_2017,serc_jet_2018,serc_jet_2019,serc_res_2007,serc_res_2008,serc_res_2009,serc_res_2010,serc_res_2011,serc_res_2012,serc_res_2013,serc_res_2014,serc_res_2015,serc_res_2016,serc_res_2017,serc_res_2018,serc_res_2019,serc_nga_2007,serc_nga_2008,serc_nga_2009,serc_nga_2010,serc_nga_2011,serc_nga_2012,serc_nga_2013,serc_nga_2014,serc_nga_2015,serc_nga_2016,serc_nga_2017,serc_nga_2018,serc_nga_2019,serc_ele_2007,serc_ele_2008,serc_ele_2009,serc_ele_2010,serc_ele_2011,serc_ele_2012,serc_ele_2013,serc_ele_2014,serc_ele_2015,serc_ele_2016,serc_ele_2017,serc_ele_2018,serc_ele_2019
Air,1.55010958358239,1.57523085279739,1.78713450292398,1.17805922890669,1.1979094398964,1.30981404464841,1.02601865488463,1.19711142344787,1.03886291731596,1.03760157935816,1.01308947462794,1.1322194894411,0.953586497890296,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,98.4459055588763,98.4247691472026,98.212865497076,98.8265971316819,98.8020905601036,98.6901859553516,98.9739813451154,98.8028885765521,98.9564149785144,98.9623984206419,98.9869105253721,98.8677805105589,99.0464135021097,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,
Buses,3.56220960247806,3.6036036036036,3.9,4.04837013669821,4.01234567901235,4.35435435435435,4.36060754532092,4.463852498787,4.39072520966946,4.30992736077482,4.49387199273718,4.64807436918991,4.64700625558534,86.5771812080537,85.8358358358358,84.75,85.3312302839117,85.3395061728395,85.6356356356356,85.1053405193533,84.4250363901019,84.3117908238777,83.9709443099274,83.9763958238765,83.9309428950863,83.2439678284182,,0,0,,,,0.293973542381186,0.291120815138282,0.345337937839171,0.290556900726392,0.272355878347708,0.132802124833997,0.0893655049151028,,,,,,,,,,,,,,,,,,,,,,,,,,,9.49922560660816,10.2102102102102,11,10.3049421661409,10.3909465020576,9.70970970970971,9.94610485056345,10.5288694808345,10.8041440552541,11.2832929782082,11.166591012256,11.2439132359451,11.9302949061662,0.309757356737223,0.3003003003003,0.35,0.368033648790747,0.308641975308642,0.3003003003003,0.34296913277805,0.339640950994663,0.148001973359645,0.145278450363196,0.0907852927825692,0.0885347498893316,0.0893655049151028
Light vehicles,97.4038251333834,97.3606235207506,97.3517007009133,97.2309338449618,97.2527507252055,97.0249720073953,97.0274008694507,96.9357500128913,96.9276517917645,96.7704327774665,96.7024310212373,96.6609527187227,96.545152398412,2.33088526372386,2.36740753360064,2.37521619079406,2.48066019751811,2.46159096510798,2.65929745072,2.65709392701884,2.72005362759759,2.72432418207775,2.85469523938346,2.9030325915702,2.92199475893051,2.99719075190251,0.265289602892779,0.271968945648801,0.273083108292624,0.289020895595814,0.285658309686471,0.315730541884749,0.315505203530497,0.324859485381323,0.325655752264788,0.343954706189252,0.350916027552442,0.354002062275465,0.365334142256103,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,0.0193368741298407,0.0223682738929349,0.0302731670241477,0.0429693094962174,0.0630504600713258,0.0923227074293401
Medium/heavy trucks,10.0508133935004,10.050581487972,10.0501273728326,10.0505617064169,10.0503639311463,10.0493463769371,10.0492926837503,10.0504849209512,10.0491343004212,10.0503085263998,10.0499316223007,10.0504016380532,10.0499615680246,89.6173827310303,89.6168551855982,89.6162379817569,89.6161537336,89.6167511814826,89.6164834213488,89.6164624058881,89.6157167530224,89.6166187579384,89.6175575129028,89.6161307763254,89.6172625610332,89.6169613118114,0.331803875469265,0.334554723594074,0.333634645410469,0.333284559983092,0.332884887371072,0.334170201714137,0.334244910361592,0.333798326026305,0.334246941640484,0.333762068347959,0.333937601373915,0.333910852102693,0.333077120163976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,72.6881720430108,73.3662822624931,71.9803944450928,73.9121114683816,74.2781875658588,75.295887662989,77.8664095371669,77.4283403720011,89.5450397601356,89.9099774943736,90.169696969697,91.437968958783,92.0045364332294,27.3118279569893,26.6337177375069,28.0196055549072,26.0878885316184,25.7218124341412,24.6940822467402,22.1335904628331,22.5806451612903,10.4679963498892,10.0900225056264,9.83030303030303,8.56203104121698,7.99546356677063
Rail,0,0,0,,,,,,,,,,,89.2319391634981,88.7295081967213,86.6765358993338,87.7452667814114,88.0971925792152,87.9725660756106,87.9829731499673,88.4192331866751,95.7356076759062,95.4440599769319,95.6043956043956,95.692582663092,95.3364928909953,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,10.7680608365019,11.2704918032787,13.3419689119171,12.2547332185886,11.9028074207848,12.0441619270659,12.0170268500327,11.580766813325,4.26439232409382,4.55594002306805,4.3956043956044,4.30741733690795,4.66350710900474
Water,13.0010903726509,16.2972620599739,15.3953380314412,14.3553550640279,14.1128160795332,16.3971702880243,18.3714096122855,21.0348583877996,18.4200459066565,16.6565560273854,15.0743099787686,15.3035714285714,16.9878446486807,22.0768392021038,18.8640808344198,19.5926585611399,21.1073923166473,29.7384914631511,25.7621694458481,26.6186368376149,30.239651416122,37.1461361897475,28.9453158852587,25.6988676574664,29.6607142857143,30.5860262871825,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9156564684754,64.8468057366362,65.0042592736003,64.5372526193248,56.1486924573158,57.8406602661277,55.0194331216229,48.7254901960784,44.433817903596,54.3981280873559,59.226822363765,55.0357142857143,52.4261290641368,,,,,,,,,,,,,,,,,,,,,,,,,,
