transp,gasoline,diesel_fuel,liq_pet_gas,Jet_fuel,res_f_oil,nat_gas,elec,tot,yr,serc_gas,serc_die,serc_lga,serc_jet,serc_res,serc_nga,serc_ele
Air,27.4,,,2064.5,,,,2091.9,2012,1.30981404464841,,,98.6901859553516,,,
Water,194.7,305.9,,,686.8,,,1187.4,2012,16.3971702880243,25.7621694458481,,,57.8406602661277,,
Pipeline,,,,,,750.7,246.2,997,2012,,,,,,75.295887662989,24.6940822467402
Rail,,525.9,,,,,72,597.8,2012,,87.9725660756106,,,,,12.0441619270659
Light vehicles,15388.4,389.5,45.2,,,,,15823.1,2011,97.2527507252055,2.46159096510798,0.285658309686471,,,,
Buses,7.8,165.9,,,,20.2,0.6,194.4,2011,4.01234567901235,85.3395061728395,,,,10.3909465020576,0.308641975308642
Medium/heavy trucks,582.7,5195.8,19.3,,,,,5797.8,2011,10.0503639311463,89.6167511814826,0.332884887371072,,,,
Air,25.9,,,2136.2,,,,2162.1,2011,1.1979094398964,,,98.8020905601036,,,
Water,195.9,412.8,,,779.4,,,1388.1,2011,14.1128160795332,29.7384914631511,,,56.1486924573158,,
Pipeline,,,,,,704.9,244.1,949,2011,,,,,,74.2781875658588,25.7218124341412
Rail,,536.6,,,,,72.5,609.1,2011,,88.0971925792152,,,,,11.9028074207848
Light vehicles,15811.5,403.4,47,,,,,16261.8,2010,97.2309338449618,2.48066019751811,0.289020895595814,,,,
Buses,7.7,162.3,,,,19.6,0.7,190.2,2010,4.04837013669821,85.3312302839117,,,,10.3049421661409,0.368033648790747
Medium/heavy trucks,618.2,5512.2,20.5,,,,,6150.9,2010,10.0505617064169,89.6161537336,0.333284559983092,,,,
Air,25.3,,,2122.4,,,,2147.6,2010,1.17805922890669,,,98.8265971316819,,,
Water,197.3,290.1,,,887,,,1374.4,2010,14.3553550640279,21.1073923166473,,,64.5372526193248,,
Pipeline,,,,,,689.6,243.4,933,2010,,,,,,73.9121114683816,26.0878885316184
Rail,,509.8,,,,,71.2,581,2010,,87.7452667814114,,,,,12.2547332185886
Light vehicles,16042.1,391.4,45,,,0,0,16478.5,2009,97.3517007009133,2.37521619079406,0.273083108292624,,,0,0
Buses,7.8,169.5,0,,,22,0.7,200,2009,3.9,84.75,0,,,11,0.35
Medium/heavy trucks,611.5,5452.7,20.3,,,,,6084.5,2009,10.0501273728326,89.6162379817569,0.333634645410469,,,,
Air,38.2,0,0,2099.3,0,0,0,2137.5,2009,1.78713450292398,0,0,98.212865497076,0,0,0
Water,198.8,253,,,839.4,,,1291.3,2009,15.3953380314412,19.5926585611399,,,65.0042592736003,,
Pipeline,0,0,0,0,0,616.8,240.1,856.9,2009,0,0,0,0,0,71.9803944450928,28.0196055549072
Rail,0,468.4,0,0,0,0,72.1,540.4,2009,0,86.6765358993338,0,0,0,0,13.3419689119171
Light vehicles,16001.9,389.1,44.7,,,0,0,16435.7,2008,97.3606235207506,2.36740753360064,0.271968945648801,,,0,0
Buses,7.2,171.5,0,,,20.4,0.6,199.8,2008,3.6036036036036,85.8358358358358,0,,,10.2102102102102,0.3003003003003
Medium/heavy trucks,504.7,4500.2,16.8,,,,,5021.6,2008,10.050581487972,89.6168551855982,0.334554723594074,,,,
Air,37.7,0,0,2355.6,0,0,0,2393.3,2008,1.57523085279739,0,0,98.4247691472026,0,0,0
Water,200,231.5,,,795.8,,,1227.2,2008,16.2972620599739,18.8640808344198,,,64.8468057366362,,
Pipeline,0,0,0,0,0,668,242.5,910.5,2008,0,0,0,0,0,73.3662822624931,26.6337177375069
Rail,0,562.9,0,0,0,0,71.5,634.4,2008,0,88.7295081967213,0,0,0,0,11.2704918032787
Light vehicles,16485.5,394.5,44.9,,,,,16924.9,2007,97.4038251333834,2.33088526372386,0.265289602892779,,,,
Buses,6.9,167.7,,,,18.4,0.6,193.7,2007,3.56220960247806,86.5771812080537,,,,9.49922560660816,0.309757356737223
Medium/heavy trucks,530.1,4726.6,17.5,,,,,5274.2,2007,10.0508133935004,89.6173827310303,0.331803875469265,,,,
Air,38.9,0,0,2470.5,0,0,0,2509.5,2007,1.55010958358239,0,0,98.4459055588763,0,0,0
Water,202.7,344.2,,,1012.1,,,1559.1,2007,13.0010903726509,22.0768392021038,,,64.9156564684754,,
Pipeline,0,0,0,0,0,642.2,241.3,883.5,2007,0,0,0,0,0,72.6881720430108,27.3118279569893
Rail,0,586.7,0,0,0,0,70.8,657.5,2007,0,89.2319391634981,0,0,0,0,10.7680608365019
